dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2000-0009-IRN,['Gilan'],['Admin1'],['Ardebil'],[None],llm_osm,GDIS,5,geodetic,19400555550.48656,14202621637.74384,13490983708.633772,20112193479.596626,0.6953916177052684,0.9498939035861611,0.6707862930177196,False,False,False,False
2000-0021-USA,"['Crittenden', 'Daviess', 'Webster']","['Admin2', 'Admin2', 'Admin2']","['Kentucky', 'Kentucky', 'Kentucky']","['Caldwell', 'Daviess', 'Caldwell']",llm_osm,GDIS,5,geodetic,3058790347.033408,104407976072.29547,3047282920.617248,104419483498.71162,0.9962379159371545,0.02918630391328734,0.029183087470978027,False,False,False,False
2000-0029-BGR,['Sofia'],['Admin3'],['Sofia-city'],[None],llm_osm,GDIS,5,geodetic,454137613.6031903,7129295814.084329,10690120.201075532,7572743307.4864435,0.023539385157416597,0.0014994636889602184,0.0014116575416609244,False,False,False,False
2000-0033-CHN,"['Yunnan Sheng', 'Dali Bai', 'Dayao', 'Nanhua', 'Xiangyun', ""Yao'an"", 'Yongren']","['Admin1', 'Admin2', 'Admin3', 'Admin3', 'Admin3', 'Admin3', 'Admin3']","['Guangxi', 'Yunnan Sheng', 'Yunnan Sheng', 'Yunnan Sheng', 'Yunnan Sheng', 'Yunnan Sheng', 'Yunnan Sheng']","[None, 'Dali Bai', None, None, None, None, None]",llm_osm,GDIS,5,geodetic,383188237546.62946,383069277931.78986,381940158256.7851,384317357221.6342,0.9967429081387382,0.9970524400152867,0.9938144897174701,False,False,False,False
2000-0036-CHN,"['Yunnan Sheng', 'Honghe Hani and Yi']","['Admin1', 'Admin2']","['Guangxi', 'Yunnan Sheng']","[None, 'Honghe Hani and Yi']",llm_osm,GDIS,5,geodetic,383188237546.62946,383069277931.78986,381940158256.7851,384317357221.6342,0.9967429081387382,0.9970524400152867,0.9938144897174701,False,False,False,False
2000-0041-CHN,['Xiuyan Manzu Zizhixian'],['Admin2'],['Liaoning Sheng'],['Anshan'],llm_osm,GDIS,5,geodetic,4508617116.190316,145809241433.90088,4508617116.190316,145809241433.90088,1.0,0.03092133990858316,0.03092133990858316,False,True,False,True
2000-0051-IRN,"['Khorasan', 'Kashmar']","['Admin1', 'Admin2']","['North Khorasan', 'Khorasan']","[None, 'Kashmar/Khalilabad']",llm_osm,GDIS,5,geodetic,116921047111.62856,7408405321.297718,6190264071.312705,118139188361.61357,0.05294396709775141,0.835573082579176,0.052398058232505,False,False,False,False
2000-0065-IRN,"['Kashmar', 'Hajiabad', 'Mohammadieh', 'Sarhozak']","['Admin2', 'Admin3', 'Admin3', 'Admin3']","['Khorasan', 'Khorasan', 'Khorasan', 'Khorasan']","['Kashmar/Khalilabad', None, None, None]",llm_osm,GDIS,5,geodetic,22622514.597230956,36260433073.67685,0.0,36283055588.27408,0.0,0.0,0.0,False,False,False,False
2000-0067-USA,"['Alabama', 'Arkansas', 'Florida', 'Georgia', 'Bullock', 'Colquitt', 'Grady', 'Lonoke', 'Mitchell', 'Montgomery', 'Prairie', 'Saline', 'Thomas', 'Tift', 'Washington']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Alabama', 'Arkansas', 'Alabama', 'Alabama', 'Alabama', 'Georgia', 'Georgia', 'Arkansas', 'Georgia', 'Alabama', 'Arkansas', 'Arkansas', 'Georgia', 'Georgia', 'Florida']","[None, None, None, None, 'Barbour', 'Brooks', 'Decatur', 'Faulkner', 'Baker', 'Elmore', 'Arkansas', 'Garland', 'Brooks', 'Berrien', 'Bay']",llm_osm,GDIS,5,geodetic,612645602198.2864,432107883531.7726,421277940999.4094,623475544730.6495,0.6876372563318595,0.974936947588537,0.675692807135535,False,False,False,False
2000-0080-USA,"['Kentucky', 'Ohio']","['Admin1', 'Admin1']","['Illinois', 'Indiana']","[None, None]",llm_osm,GDIS,5,geodetic,220678316335.45657,224505906854.9132,220179481628.54453,225004741561.82523,0.9977395390938466,0.9807291251843782,0.9785548522231704,False,False,False,False
